fight_link,date,location,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,division,method,last_round,last_round_time,time_format,referee,stoppage_details,kd_1,kd_2,sig_str_1,sig_str_2,sig_str_perc_1,sig_str_perc_2,total_str_1,total_str_2,td_1,td_2,td_pct_1,td_pct_2,sub_att_1,sub_att_2,rev_1,rev_2,ctrl_1,ctrl_2,r1_kd_1,r1_kd_2,r1_sig_str_1,r1_sig_str_2,r1_sig_str_perc_1,r1_sig_str_perc_2,r1_total_str_1,r1_total_str_2,r1_td_1,r1_td_2,r1_td_pct_1,r1_td_pct_2,r1_sub_att_1,r1_sub_att_2,r1_rev_1,r1_rev_2,r1_ctrl_1,r1_ctrl_2,r2_kd_1,r2_kd_2,r2_sig_str_1,r2_sig_str_2,r2_sig_str_perc_1,r2_sig_str_perc_2,r2_total_str_1,r2_total_str_2,r2_td_1,r2_td_2,r2_td_pct_1,r2_td_pct_2,r2_sub_att_1,r2_sub_att_2,r2_rev_1,r2_rev_2,r2_ctrl_1,r2_ctrl_2,r3_kd_1,r3_kd_2,r3_sig_str_1,r3_sig_str_2,r3_sig_str_perc_1,r3_sig_str_perc_2,r3_total_str_1,r3_total_str_2,r3_td_1,r3_td_2,r3_td_pct_1,r3_td_pct_2,r3_sub_att_1,r3_sub_att_2,r3_rev_1,r3_rev_2,r3_ctrl_1,r3_ctrl_2,r4_kd_1,r4_kd_2,r4_sig_str_1,r4_sig_str_2,r4_sig_str_perc_1,r4_sig_str_perc_2,r4_total_str_1,r4_total_str_2,r4_td_1,r4_td_2,r4_td_pct_1,r4_td_pct_2,r4_sub_att_1,r4_sub_att_2,r4_rev_1,r4_rev_2,r4_ctrl_1,r4_ctrl_2,r5_kd_1,r5_kd_2,r5_sig_str_1,r5_sig_str_2,r5_sig_str_perc_1,r5_sig_str_perc_2,r5_total_str_1,r5_total_str_2,r5_td_1,r5_td_2,r5_td_pct_1,r5_td_pct_2,r5_sub_att_1,r5_sub_att_2,r5_rev_1,r5_rev_2,r5_ctrl_1,r5_ctrl_2,sig_str_head_1,sig_str_head_2,sig_str_body_1,sig_str_body_2,sig_str_leg_1,sig_str_leg_2,sig_str_dist_1,sig_str_dist_2,sig_str_clinch_1,sig_str_clinch_2,sig_str_ground_1,sig_str_ground_2,r1_sig_str_head_1,r1_sig_str_head_2,r1_sig_str_body_1,r1_sig_str_body_2,r1_sig_str_leg_1,r1_sig_str_leg_2,r1_sig_str_dist_1,r1_sig_str_dist_2,r1_sig_str_clinch_1,r1_sig_str_clinch_2,r1_sig_str_ground_1,r1_sig_str_ground_2,r2_sig_str_head_1,r2_sig_str_head_2,r2_sig_str_body_1,r2_sig_str_body_2,r2_sig_str_leg_1,r2_sig_str_leg_2,r2_sig_str_dist_1,r2_sig_str_dist_2,r2_sig_str_clinch_1,r2_sig_str_clinch_2,r2_sig_str_ground_1,r2_sig_str_ground_2,r3_sig_str_head_1,r3_sig_str_head_2,r3_sig_str_body_1,r3_sig_str_body_2,r3_sig_str_leg_1,r3_sig_str_leg_2,r3_sig_str_dist_1,r3_sig_str_dist_2,r3_sig_str_clinch_1,r3_sig_str_clinch_2,r3_sig_str_ground_1,r3_sig_str_ground_2,r4_sig_str_head_1,r4_sig_str_head_2,r4_sig_str_body_1,r4_sig_str_body_2,r4_sig_str_leg_1,r4_sig_str_leg_2,r4_sig_str_dist_1,r4_sig_str_dist_2,r4_sig_str_clinch_1,r4_sig_str_clinch_2,r4_sig_str_ground_1,r4_sig_str_ground_2,r5_sig_str_head_1,r5_sig_str_head_2,r5_sig_str_body_1,r5_sig_str_body_2,r5_sig_str_leg_1,r5_sig_str_leg_2,r5_sig_str_dist_1,r5_sig_str_dist_2,r5_sig_str_clinch_1,r5_sig_str_clinch_2,r5_sig_str_ground_1,r5_sig_str_ground_2,error,error_type
http://ufcstats.com/fight-details/61d9eff5fa4c8578,"
      October 23, 2021
    ","

      Las Vegas, Nevada, USA
    ",Livinha Souza,Randa Markos,"""The Brazilian Gangsta""","""Quiet Storm""",L,W,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,11 of 27,65 of 96,40%,67%,51 of 71,159 of 207,3 of 6,0 of 0,50%,---,2,0,0,2,3:31,8:47,0,0,3 of 7,21 of 36,42%,58%,24 of 29,40 of 61,1 of 3,0 of 0,33%,---,2,0,0,0,1:43,2:10,0,0,2 of 4,12 of 16,50%,75%,17 of 21,50 of 62,1 of 2,0 of 0,50%,---,0,0,0,1,1:31,3:00,0,0,6 of 16,32 of 44,37%,72%,10 of 21,69 of 84,1 of 1,0 of 0,100%,---,0,0,0,1,0:17,3:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 of 23,55 of 85,3 of 3,7 of 8,1 of 1,3 of 3,6 of 20,29 of 55,3 of 5,20 of 25,2 of 2,16 of 16,1 of 5,15 of 29,2 of 2,4 of 5,0 of 0,2 of 2,1 of 4,9 of 23,2 of 3,12 of 13,0 of 0,0 of 0,1 of 3,10 of 14,1 of 1,2 of 2,0 of 0,0 of 0,0 of 2,1 of 5,1 of 1,2 of 2,1 of 1,9 of 9,5 of 15,30 of 42,0 of 0,1 of 1,1 of 1,1 of 1,5 of 14,19 of 27,0 of 1,6 of 10,1 of 1,7 of 7,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/acec5f4c6fee1ae2,"
      October 23, 2021
    ","

      Las Vegas, Nevada, USA
    ",Jeff Molina,Daniel Lacerda,"""El Jefe""","""Miojo""",W,L,Flyweight Bout,KO/TKO,2,0:46,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Back Control,1,0,47 of 62,20 of 25,75%,80%,106 of 131,31 of 37,0 of 0,0 of 2,---,0%,0,0,0,0,3:26,0:55,0,0,30 of 40,18 of 22,75%,81%,66 of 80,29 of 34,0 of 0,0 of 2,---,0%,0,0,0,0,3:00,0:55,1,0,17 of 22,2 of 3,77%,66%,40 of 51,2 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:26,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39 of 54,7 of 11,6 of 6,7 of 8,2 of 2,6 of 6,9 of 13,14 of 16,0 of 0,0 of 1,38 of 49,6 of 8,26 of 36,7 of 11,3 of 3,7 of 7,1 of 1,4 of 4,3 of 6,12 of 13,0 of 0,0 of 1,27 of 34,6 of 8,13 of 18,0 of 0,3 of 3,0 of 1,1 of 1,2 of 2,6 of 7,2 of 3,0 of 0,0 of 0,11 of 15,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/7151ae256e6c181b,"
      October 23, 2021
    ","

      Las Vegas, Nevada, USA
    ",Jonathan Martinez,Zviad Lazishvili,"""Dragon""",,W,L,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,92 of 188,63 of 160,48%,39%,94 of 191,66 of 163,0 of 0,0 of 6,---,0%,0,0,0,0,0:00,1:30,0,0,23 of 46,19 of 46,50%,41%,25 of 49,22 of 49,0 of 0,0 of 4,---,0%,0,0,0,0,0:00,1:30,0,0,29 of 61,27 of 63,47%,42%,29 of 61,27 of 63,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:00,0,0,40 of 81,17 of 51,49%,33%,40 of 81,17 of 51,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 of 154,25 of 115,14 of 19,17 of 22,13 of 15,21 of 23,92 of 188,60 of 153,0 of 0,3 of 7,0 of 0,0 of 0,11 of 32,7 of 31,6 of 7,3 of 5,6 of 7,9 of 10,23 of 46,18 of 43,0 of 0,1 of 3,0 of 0,0 of 0,21 of 49,11 of 45,6 of 9,8 of 9,2 of 3,8 of 9,29 of 61,25 of 59,0 of 0,2 of 4,0 of 0,0 of 0,33 of 73,7 of 39,2 of 3,6 of 8,5 of 5,4 of 4,40 of 81,17 of 51,0 of 0,0 of 0,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/6d7eecf4acecda2a,"
      October 23, 2021
    ","

      Las Vegas, Nevada, USA
    ",Khama Worthy,Jai Herbert,"""The Death Star""","""Black Country Banger""",L,W,Lightweight Bout,KO/TKO,1,2:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,0,1,11 of 21,24 of 46,52%,52%,11 of 21,25 of 47,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:05,0,1,11 of 21,24 of 46,52%,52%,11 of 21,25 of 47,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 of 13,21 of 40,1 of 1,1 of 1,5 of 7,2 of 5,11 of 21,19 of 39,0 of 0,2 of 2,0 of 0,3 of 5,5 of 13,21 of 40,1 of 1,1 of 1,5 of 7,2 of 5,11 of 21,19 of 39,0 of 0,2 of 2,0 of 0,3 of 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/0328754c15ecd37c,"
      February 24, 2018
    ","

      Orlando, Florida, USA
    ",Albert Morales,Manny Bermudez,"""The Warrior""","""The Bermudez Triangle""",L,W,Bantamweight Bout,Submission,2,2:33,3 Rnd (5-5-5),Andrew Glenn,Guillotine Choke After Drop to Ground,0,0,19 of 54,12 of 28,35%,42%,30 of 66,27 of 43,1 of 1,1 of 5,100%,20%,0,3,1,2,3:40,1:56,0,0,8 of 18,4 of 8,44%,50%,19 of 30,13 of 17,1 of 1,1 of 1,100%,100%,0,2,1,2,2:43,1:52,0,0,11 of 36,8 of 20,30%,40%,11 of 36,14 of 26,0 of 0,0 of 4,---,0%,0,1,0,0,0:57,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 of 50,12 of 28,1 of 2,0 of 0,2 of 2,0 of 0,12 of 43,6 of 19,0 of 0,0 of 0,7 of 11,6 of 9,7 of 17,4 of 8,0 of 0,0 of 0,1 of 1,0 of 0,2 of 9,1 of 3,0 of 0,0 of 0,6 of 9,3 of 5,9 of 33,8 of 20,1 of 2,0 of 0,1 of 1,0 of 0,10 of 34,5 of 16,0 of 0,0 of 0,1 of 2,3 of 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/8081cb92f71401c6,"
      November 06, 2021
    ","

      New York City, New York, USA
    ",CJ Vergara,Ode Osbourne,,"""The Jamaican Sensation""",L,W,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,,0,0,93 of 165,79 of 194,56%,40%,122 of 197,89 of 208,0 of 0,1 of 7,---,14%,0,0,0,0,2:41,0:26,0,0,24 of 52,34 of 75,46%,45%,24 of 52,34 of 75,0 of 0,0 of 1,---,0%,0,0,0,0,0:01,0:08,0,0,28 of 48,26 of 71,58%,36%,28 of 48,31 of 78,0 of 0,1 of 3,---,33%,0,0,0,0,0:00,0:17,0,0,41 of 65,19 of 48,63%,39%,70 of 97,24 of 55,0 of 0,0 of 3,---,0%,0,0,0,0,2:40,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 of 99,61 of 168,51 of 59,15 of 23,7 of 7,3 of 3,68 of 129,77 of 191,16 of 22,2 of 3,9 of 14,0 of 0,10 of 35,23 of 62,10 of 13,9 of 11,4 of 4,2 of 2,22 of 49,34 of 75,2 of 3,0 of 0,0 of 0,0 of 0,11 of 30,21 of 63,14 of 15,4 of 7,3 of 3,1 of 1,28 of 46,25 of 69,0 of 2,1 of 2,0 of 0,0 of 0,14 of 34,17 of 43,27 of 31,2 of 5,0 of 0,0 of 0,18 of 34,18 of 47,14 of 17,1 of 1,9 of 14,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/73d541adc2909dc8,"
      November 06, 2021
    ","

      New York City, New York, USA
    ",Melsik Baghdasaryan,Bruno Souza,"""The Gun""","""The Tiger""",W,L,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,,0,0,75 of 124,46 of 103,60%,44%,77 of 126,47 of 104,0 of 0,0 of 4,---,0%,0,0,0,0,0:10,0:45,0,0,21 of 36,11 of 24,58%,45%,23 of 38,12 of 25,0 of 0,0 of 1,---,0%,0,0,0,0,0:05,0:40,0,0,31 of 43,16 of 37,72%,43%,31 of 43,16 of 37,0 of 0,0 of 1,---,0%,0,0,0,0,0:05,0:00,0,0,23 of 45,19 of 42,51%,45%,23 of 45,19 of 42,0 of 0,0 of 2,---,0%,0,0,0,0,0:00,0:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 of 63,27 of 70,25 of 32,13 of 24,24 of 29,6 of 9,68 of 117,41 of 96,7 of 7,5 of 7,0 of 0,0 of 0,4 of 14,5 of 14,8 of 10,5 of 8,9 of 12,1 of 2,18 of 33,10 of 23,3 of 3,1 of 1,0 of 0,0 of 0,13 of 21,12 of 27,8 of 11,2 of 6,10 of 11,2 of 4,29 of 41,14 of 35,2 of 2,2 of 2,0 of 0,0 of 0,9 of 28,10 of 29,9 of 11,6 of 10,5 of 6,3 of 3,21 of 43,17 of 38,2 of 2,2 of 4,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/0f2611c3ec4661dd,"
      February 24, 2018
    ","

      Orlando, Florida, USA
    ",Eric Shelton,Alex Perez,"""Showtime""",,L,W,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Alonso,,0,0,41 of 109,29 of 82,37%,35%,72 of 140,67 of 123,0 of 2,5 of 9,0%,55%,0,0,0,0,0:02,6:58,0,0,18 of 40,13 of 39,45%,33%,23 of 45,29 of 56,0 of 1,1 of 1,0%,100%,0,0,0,0,0:00,1:30,0,0,10 of 22,6 of 22,45%,27%,25 of 37,22 of 39,0 of 1,1 of 2,0%,50%,0,0,0,0,0:02,3:23,0,0,13 of 47,10 of 21,27%,47%,24 of 58,16 of 28,0 of 0,3 of 6,---,50%,0,0,0,0,0:00,2:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 of 98,15 of 64,9 of 9,3 of 6,2 of 2,11 of 12,31 of 98,24 of 73,1 of 2,1 of 4,9 of 9,4 of 5,14 of 36,7 of 31,3 of 3,0 of 2,1 of 1,6 of 6,15 of 37,12 of 37,1 of 1,0 of 0,2 of 2,1 of 2,5 of 17,4 of 18,5 of 5,1 of 2,0 of 0,1 of 2,5 of 17,4 of 20,0 of 0,0 of 0,5 of 5,2 of 2,11 of 45,4 of 15,1 of 1,2 of 2,1 of 1,4 of 4,11 of 44,8 of 16,0 of 1,1 of 4,2 of 2,1 of 1,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/88cc78d2d5d6bcaa,"
      November 06, 2021
    ","

      New York City, New York, USA
    ",Dustin Jacoby,John Allan,"""The Hanyak""",,W,L,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,0,0,153 of 321,77 of 189,47%,40%,153 of 321,78 of 190,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0,0,48 of 105,25 of 56,45%,44%,48 of 105,25 of 56,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0,0,57 of 119,25 of 68,47%,36%,57 of 119,26 of 69,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0,0,48 of 97,27 of 65,49%,41%,48 of 97,27 of 65,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 of 270,43 of 149,21 of 28,11 of 14,22 of 23,23 of 26,152 of 319,76 of 184,1 of 2,1 of 5,0 of 0,0 of 0,29 of 85,10 of 38,9 of 10,6 of 7,10 of 10,9 of 11,48 of 105,25 of 56,0 of 0,0 of 0,0 of 0,0 of 0,43 of 103,13 of 54,9 of 11,3 of 4,5 of 5,9 of 10,56 of 118,24 of 66,1 of 1,1 of 2,0 of 0,0 of 0,38 of 82,20 of 57,3 of 7,2 of 3,7 of 8,5 of 5,48 of 96,27 of 62,0 of 1,0 of 3,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/eedc7fccf7037949,"
      September 28, 2024
    ","

      Paris, Ile-de-France, France
    ",Bolaji Oki,Chris Duncan,"""The Zulu Warrior""","""The Problem""",L,W,Lightweight Bout,Submission,1,3:34,3 Rnd (5-5-5),Loic Pora,Guillotine Choke From Guard,0,0,28 of 50,10 of 25,56%,40%,29 of 51,12 of 29,2 of 3,0 of 1,66%,0%,0,1,0,0,1:11,0:00,0,0,28 of 50,10 of 25,56%,40%,29 of 51,12 of 29,2 of 3,0 of 1,66%,0%,0,1,0,0,1:11,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 of 47,7 of 18,3 of 3,1 of 1,0 of 0,2 of 6,21 of 39,10 of 25,6 of 8,0 of 0,1 of 3,0 of 0,25 of 47,7 of 18,3 of 3,1 of 1,0 of 0,2 of 6,21 of 39,10 of 25,6 of 8,0 of 0,1 of 3,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/6ccf478dca83757e,"
      May 08, 2016
    ","

      Rotterdam, Zuid-Holland, Netherlands
    ",Leon Edwards,Dominic Waters,"""Rocky""","""Sho Nuff""",W,L,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,,0,0,24 of 35,3 of 16,68%,18%,55 of 69,39 of 54,2 of 3,4 of 12,66%,33%,1,0,0,0,3:11,7:15,0,0,5 of 6,0 of 3,83%,0%,15 of 17,0 of 3,1 of 1,1 of 2,100%,50%,1,0,0,0,0:12,4:01,0,0,6 of 9,0 of 6,66%,0%,21 of 24,22 of 28,1 of 1,2 of 6,100%,33%,0,0,0,0,1:10,2:17,0,0,13 of 20,3 of 7,65%,42%,19 of 28,17 of 23,0 of 1,1 of 4,0%,25%,0,0,0,0,1:49,0:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 of 28,1 of 12,7 of 7,2 of 2,0 of 0,0 of 2,8 of 17,3 of 15,1 of 1,0 of 1,15 of 17,0 of 0,4 of 5,0 of 3,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 3,0 of 0,0 of 0,4 of 5,0 of 0,4 of 7,0 of 5,2 of 2,0 of 0,0 of 0,0 of 1,2 of 5,0 of 5,0 of 0,0 of 1,4 of 4,0 of 0,9 of 16,1 of 4,4 of 4,2 of 2,0 of 0,0 of 1,5 of 11,3 of 7,1 of 1,0 of 0,7 of 8,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/bf8f747e57d6d1c7,"
      February 24, 2018
    ","

      Orlando, Florida, USA
    ",Rani Yahya,Russell Doane,,,W,L,Bantamweight Bout,Submission,3,2:32,3 Rnd (5-5-5),Kevin MacDonald,Arm Triangle From Side Control,0,0,17 of 20,2 of 8,85%,25%,105 of 149,15 of 30,2 of 3,1 of 1,66%,100%,2,0,1,0,9:59,0:22,0,0,14 of 15,0 of 2,93%,0%,41 of 46,2 of 4,1 of 1,0 of 0,100%,---,1,0,0,0,4:07,0:00,0,0,1 of 2,0 of 2,50%,0%,60 of 98,11 of 22,1 of 1,1 of 1,100%,100%,0,0,0,0,4:39,0:00,0,0,2 of 3,2 of 4,66%,50%,4 of 5,2 of 4,0 of 1,0 of 0,0%,---,1,0,1,0,1:13,0:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 of 4,0 of 5,14 of 14,2 of 3,2 of 2,0 of 0,2 of 5,2 of 8,0 of 0,0 of 0,15 of 15,0 of 0,0 of 1,0 of 2,14 of 14,0 of 0,0 of 0,0 of 0,0 of 1,0 of 2,0 of 0,0 of 0,14 of 14,0 of 0,1 of 2,0 of 1,0 of 0,0 of 1,0 of 0,0 of 0,0 of 1,0 of 2,0 of 0,0 of 0,1 of 1,0 of 0,0 of 1,0 of 2,0 of 0,2 of 2,2 of 2,0 of 0,2 of 3,2 of 4,0 of 0,0 of 0,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/5a9804cad2335272,"
      May 08, 2016
    ","

      Rotterdam, Zuid-Holland, Netherlands
    ",Yuta Sasaki,Willie Gates,"""Ulka""",,W,L,Flyweight Bout,Submission,2,3:30,3 Rnd (5-5-5),Rich Mitchell,Rear Naked Choke,0,0,7 of 23,13 of 32,30%,40%,26 of 46,31 of 50,4 of 10,0 of 0,40%,---,1,0,0,0,0:45,6:02,0,0,2 of 15,7 of 21,13%,33%,4 of 19,25 of 39,2 of 6,0 of 0,33%,---,0,0,0,0,0:37,3:07,0,0,5 of 8,6 of 11,62%,54%,22 of 27,6 of 11,2 of 4,0 of 0,50%,---,1,0,0,0,0:08,2:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 of 20,7 of 25,2 of 3,5 of 6,0 of 0,1 of 1,3 of 18,9 of 22,0 of 0,1 of 6,4 of 5,3 of 4,1 of 13,4 of 17,1 of 2,2 of 3,0 of 0,1 of 1,2 of 15,5 of 14,0 of 0,0 of 5,0 of 0,2 of 2,4 of 7,3 of 8,1 of 1,3 of 3,0 of 0,0 of 0,1 of 3,4 of 8,0 of 0,1 of 1,4 of 5,1 of 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/d37ed975c2b70fd2,"
      May 08, 2016
    ","

      Rotterdam, Zuid-Holland, Netherlands
    ",Kyoji Horiguchi,Neil Seery,,"""2Tap""",W,L,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,2,0,72 of 145,40 of 101,49%,39%,83 of 158,51 of 112,6 of 8,0 of 5,75%,0%,0,1,0,0,5:49,0:24,2,0,25 of 52,10 of 20,48%,50%,30 of 59,15 of 25,2 of 2,0 of 1,100%,0%,0,1,0,0,2:27,0:08,0,0,24 of 47,12 of 42,51%,28%,27 of 50,14 of 44,2 of 4,0 of 2,50%,0%,0,0,0,0,1:26,0:00,0,0,23 of 46,18 of 39,50%,46%,26 of 49,22 of 43,2 of 2,0 of 2,100%,0%,0,0,0,0,1:56,0:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44 of 108,36 of 91,18 of 27,2 of 8,10 of 10,2 of 2,50 of 109,34 of 91,12 of 15,3 of 5,10 of 21,3 of 5,19 of 43,9 of 19,5 of 8,0 of 0,1 of 1,1 of 1,14 of 31,7 of 15,1 of 1,0 of 0,10 of 20,3 of 5,14 of 33,10 of 36,5 of 9,2 of 6,5 of 5,0 of 0,22 of 44,12 of 41,2 of 3,0 of 1,0 of 0,0 of 0,11 of 32,17 of 36,8 of 10,0 of 2,4 of 4,1 of 1,14 of 34,15 of 35,9 of 11,3 of 4,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/87b6c507a7684ec2,"
      December 09, 2016
    ","

      Albany, New York, USA
    ",Juliana Lima,JJ Aldrich,"""Ju Thai""",,W,L,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,0,0,56 of 124,31 of 81,45%,38%,90 of 161,111 of 161,4 of 6,0 of 0,66%,---,0,0,0,0,7:04,0:46,0,0,17 of 33,7 of 16,51%,43%,32 of 50,27 of 36,1 of 2,0 of 0,50%,---,0,0,0,0,2:43,0:02,0,0,13 of 34,15 of 31,38%,48%,25 of 47,49 of 65,2 of 3,0 of 0,66%,---,0,0,0,0,2:32,0:30,0,0,26 of 57,9 of 34,45%,26%,33 of 64,35 of 60,1 of 1,0 of 0,100%,---,0,0,0,0,1:49,0:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 of 81,13 of 59,20 of 23,18 of 22,14 of 20,0 of 0,24 of 87,8 of 51,24 of 28,19 of 25,8 of 9,4 of 5,7 of 18,2 of 10,9 of 10,5 of 6,1 of 5,0 of 0,2 of 15,2 of 9,9 of 11,5 of 7,6 of 7,0 of 0,5 of 23,8 of 22,3 of 5,7 of 9,5 of 6,0 of 0,8 of 28,2 of 15,3 of 4,9 of 11,2 of 2,4 of 5,10 of 40,3 of 27,8 of 8,6 of 7,8 of 9,0 of 0,14 of 44,4 of 27,12 of 13,5 of 7,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ufcstats.com/fight-details/711fcf95370fa90b,"
      May 08, 2016
    ","

      Rotterdam, Zuid-Holland, Netherlands
    ",Yan Cabral,Reza Madadi,,"""Mad Dog""",L,W,Lightweight Bout,KO/TKO,3,1:56,3 Rnd (5-5-5),Leon Roberts,Punch to Head At Distance,0,0,32 of 85,27 of 68,37%,39%,61 of 117,36 of 78,1 of 10,1 of 2,10%,50%,0,0,0,0,3:09,3:21,0,0,10 of 20,3 of 16,50%,18%,22 of 34,5 of 18,1 of 5,0 of 1,20%,0%,0,0,0,0,1:48,1:29,0,0,20 of 49,13 of 35,40%,37%,35 of 64,20 of 43,0 of 2,1 of 1,0%,100%,0,0,0,0,0:27,1:52,0,0,2 of 16,11 of 17,12%,64%,4 of 19,11 of 17,0 of 3,0 of 0,0%,---,0,0,0,0,0:54,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 of 70,18 of 59,11 of 13,8 of 8,2 of 2,1 of 1,14 of 62,14 of 49,17 of 22,13 of 19,1 of 1,0 of 0,3 of 12,1 of 14,6 of 7,2 of 2,1 of 1,0 of 0,2 of 10,0 of 11,7 of 9,3 of 5,1 of 1,0 of 0,14 of 43,6 of 28,5 of 5,6 of 6,1 of 1,1 of 1,11 of 38,5 of 23,9 of 11,8 of 12,0 of 0,0 of 0,2 of 15,11 of 17,0 of 1,0 of 0,0 of 0,0 of 0,1 of 14,9 of 15,1 of 2,2 of 2,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,,,,,,,,,
